This is MadNLP version v0.8.3, running with cuDSS v0.1.0

Number of nonzeros in constraint Jacobian............:   407296
Number of nonzeros in Lagrangian Hessian.............:   281600

Total number of variables............................:   112750
                     variables with only lower bounds:    56320
                variables with lower and upper bounds:      110
                     variables with only upper bounds:        0
Total number of equality constraints.................:   112640
Total number of inequality constraints...............:    14080
        inequality constraints with only lower bounds:        0
   inequality constraints with lower and upper bounds:        0
        inequality constraints with only upper bounds:    14080

iter    objective    inf_pr   inf_du lg(mu)  ||d||  lg(rg) alpha_du alpha_pr  ls
   0  4.0000000e+01 9.90e-01 2.02e+00  -1.0 0.00e+00    -  0.00e+00 0.00e+00   0
   1  4.0067906e+01 9.87e-01 2.02e+00  -1.0 1.14e+00    -  1.81e-03 2.49e-03h  1
   2  4.0054009e+01 9.83e-01 9.14e+00  -1.0 1.30e+00    -  1.28e-02 4.51e-03h  1
   3  3.8925623e+01 9.70e-01 1.40e+01  -1.0 3.08e+00    -  1.81e-02 1.30e-02h  1
   4  3.2594715e+01 9.44e-01 1.60e+01  -1.0 4.12e+00    -  2.87e-02 2.66e-02h  1
   5  2.0482864e+01 9.03e-01 2.37e+01  -1.0 2.58e+00    -  5.46e-02 4.33e-02h  1
   6  7.0970229e+00 7.14e-01 7.49e+01  -1.0 9.06e-01    -  8.35e-02 2.10e-01h  1
   7  1.5648271e+01 5.67e-01 1.86e+02  -1.0 9.02e-01    -  3.86e-02 2.05e-01h  1
   8  5.1420123e+01 4.98e-01 1.45e+02  -1.0 3.11e+00    -  1.18e-02 1.23e-01h  1
   9  6.5164403e+01 3.67e-01 1.07e+02  -1.0 1.74e+00    -  1.02e-01 2.63e-01h  1
iter    objective    inf_pr   inf_du lg(mu)  ||d||  lg(rg) alpha_du alpha_pr  ls
  10  6.0143251e+01 3.00e-01 6.96e+01  -1.0 4.53e-01    -  4.27e-01 1.82e-01h  1
  11  5.3290297e+01 1.38e-01 1.14e+02  -1.0 3.04e-01    -  1.00e+00 5.39e-01h  1
  12  5.5091544e+01 5.23e-04 1.21e+02  -1.0 4.14e-01    -  6.00e-01 1.00e+00h  1
  13  5.5082200e+01 3.24e-04 2.07e+02  -1.0 1.70e-01    -  8.80e-01 4.13e-01h  1
  14  5.5056722e+01 3.12e-04 9.20e+00  -1.0 2.96e-01    -  1.00e+00 1.00e+00h  1
  15  5.5024707e+01 1.31e-05 4.39e-02  -1.0 4.39e-02    -  1.00e+00 1.00e+00h  1
  16  5.4598129e+01 4.21e-07 4.38e+01  -2.5 1.78e-02    -  9.86e-01 1.00e+00h  1
  17  5.1984098e+01 1.93e-05 4.26e+00  -2.5 4.20e-01    -  1.00e+00 2.97e-01f  1
  18  5.0043700e+01 3.91e-05 4.15e+00  -2.5 5.82e-01    -  1.00e+00 2.05e-01h  1
  19  4.8216563e+01 5.20e-05 2.84e+00  -2.5 4.34e-01    -  1.00e+00 2.84e-01h  1
iter    objective    inf_pr   inf_du lg(mu)  ||d||  lg(rg) alpha_du alpha_pr  ls
  20  4.6653929e+01 4.91e-05 1.99e+00  -2.5 3.30e-01    -  1.00e+00 3.64e-01h  1
  21  4.5359755e+01 3.11e-05 1.01e+00  -2.5 2.22e-01    -  1.00e+00 5.12e-01h  1
  22  4.4216325e+01 1.24e-05 1.04e-02  -2.5 1.04e-01    -  1.00e+00 1.00e+00h  1
  23  4.3406377e+01 1.08e-05 3.50e+01  -3.8 6.47e-01    -  5.10e-01 1.05e-01h  1
  24  4.1613251e+01 1.40e-04 3.62e+01  -3.8 1.54e+00    -  2.43e-01 1.08e-01h  1
  25  4.0769104e+01 2.36e-04 3.82e+01  -3.8 2.84e+00    -  1.28e-01 3.63e-02h  1
  26  3.9510525e+01 2.26e-04 3.78e+01  -3.8 2.60e+00    -  1.66e-01 6.80e-02h  1
  27  3.8853782e+01 2.21e-04 3.82e+01  -3.8 4.12e+00    -  1.02e-01 3.24e-02h  1
