This is MadNLP version v0.8.3, running with cuDSS v0.1.0

Number of nonzeros in constraint Jacobian............:    12728
Number of nonzeros in Lagrangian Hessian.............:     8800

Total number of variables............................:     3630
                     variables with only lower bounds:     1760
                variables with lower and upper bounds:      110
                     variables with only upper bounds:        0
Total number of equality constraints.................:     3520
Total number of inequality constraints...............:      440
        inequality constraints with only lower bounds:        0
   inequality constraints with lower and upper bounds:        0
        inequality constraints with only upper bounds:      440

iter    objective    inf_pr   inf_du lg(mu)  ||d||  lg(rg) alpha_du alpha_pr  ls
   0  4.0000000e+01 9.90e-01 2.02e+00  -1.0 0.00e+00    -  0.00e+00 0.00e+00   0
   1  3.9869190e+01 9.87e-01 2.02e+00  -1.0 1.12e+00    -  1.83e-03 2.49e-03h  1
   2  3.9642219e+01 9.83e-01 9.12e+00  -1.0 1.02e+00    -  1.28e-02 4.55e-03h  1
   3  3.8969962e+01 9.70e-01 1.41e+01  -1.0 9.90e-01    -  1.80e-02 1.29e-02h  1
   4  3.7501359e+01 9.45e-01 1.64e+01  -1.0 9.74e-01    -  2.79e-02 2.56e-02h  1
   5  3.3676884e+01 8.89e-01 1.21e+01  -1.0 9.48e-01    -  4.91e-02 5.94e-02h  1
   6  1.8896264e+01 6.37e-01 1.24e+02  -1.0 8.92e-01    -  8.23e-02 2.83e-01h  1
   7  2.1152655e+01 4.28e-01 2.75e+02  -1.0 9.84e-01    -  1.07e-01 3.29e-01h  1
   8  4.4462763e+01 1.90e-01 2.07e+02  -1.0 9.64e-01    -  1.54e-01 5.57e-01h  1
   9  4.9224038e+01 9.32e-02 6.09e+01  -1.0 3.12e-01    -  4.98e-01 5.08e-01h  1
iter    objective    inf_pr   inf_du lg(mu)  ||d||  lg(rg) alpha_du alpha_pr  ls
  10  4.8776031e+01 4.20e-02 3.54e+01  -1.0 4.60e-01    -  6.59e-01 5.50e-01h  1
  11  4.7863996e+01 1.70e-02 1.45e+02  -1.0 6.01e-01    -  1.00e+00 5.95e-01h  1
  12  4.7476754e+01 2.21e-03 3.39e+01  -1.0 3.93e-01    -  1.00e+00 8.70e-01h  1
