This is MadNLP version v0.8.3, running with cuDSS v0.1.0

Number of nonzeros in constraint Jacobian............:    23696
Number of nonzeros in Lagrangian Hessian.............:    10560

Total number of variables............................:     7150
                     variables with only lower bounds:     3520
                variables with lower and upper bounds:      110
                     variables with only upper bounds:        0
Total number of equality constraints.................:     7040
Total number of inequality constraints...............:      880
        inequality constraints with only lower bounds:        0
   inequality constraints with lower and upper bounds:        0
        inequality constraints with only upper bounds:      880

iter    objective    inf_pr   inf_du lg(mu)  ||d||  lg(rg) alpha_du alpha_pr  ls
   0  4.0000000e+01 9.90e-01 2.02e+00  -1.0 0.00e+00    -  0.00e+00 0.00e+00   0
   1  3.9910884e+01 9.87e-01 2.02e+00  -1.0 1.14e+00    -  1.81e-03 2.49e-03h  1
   2  3.9712196e+01 9.83e-01 9.14e+00  -1.0 1.02e+00    -  1.28e-02 4.51e-03h  1
   3  3.9075224e+01 9.70e-01 1.41e+01  -1.0 9.90e-01    -  1.80e-02 1.29e-02h  1
   4  3.7569573e+01 9.45e-01 1.64e+01  -1.0 9.74e-01    -  2.79e-02 2.56e-02h  1
   5  3.3371083e+01 8.89e-01 1.20e+01  -1.0 9.49e-01    -  4.92e-02 5.94e-02h  1
   6  1.8451953e+01 6.31e-01 1.29e+02  -1.0 8.92e-01    -  8.22e-02 2.90e-01h  1
   7  2.2701128e+01 4.34e-01 2.37e+02  -1.0 9.86e-01    -  1.12e-01 3.12e-01h  1
   8  5.1058685e+01 2.05e-01 1.30e+02  -1.0 1.09e+00    -  1.73e-01 5.29e-01h  1
   9  5.2607069e+01 1.24e-01 7.74e+01  -1.0 3.56e-01    -  3.51e-01 3.95e-01h  1
iter    objective    inf_pr   inf_du lg(mu)  ||d||  lg(rg) alpha_du alpha_pr  ls
  10  5.2468203e+01 4.70e-02 4.17e+01  -1.0 2.83e-01    -  7.62e-01 6.20e-01h  1
  11  5.3731726e+01 1.73e-04 2.79e+01  -1.0 2.22e-01    -  1.00e+00 1.00e+00h  1
  12  5.3543725e+01 2.32e-05 1.72e+00  -1.0 7.17e-02    -  1.00e+00 1.00e+00h  1
  13  5.3528435e+01 2.05e-07 7.56e-03  -1.0 1.11e-02    -  1.00e+00 1.00e+00h  1
  14  4.8008987e+01 5.33e-05 6.45e+02  -3.8 1.02e-01    -  7.96e-01 1.00e+00f  1
  15  4.3452053e+01 8.63e-05 3.88e+02  -3.8 5.97e-01    -  4.03e-01 2.65e-01h  1
  16  3.9767963e+01 2.68e-04 3.02e+02  -3.8 1.00e+00    -  2.31e-01 1.62e-01h  1
  17  3.7640501e+01 2.86e-04 2.55e+02  -3.8 3.23e+00    -  1.41e-01 8.74e-02h  1
  18  3.7146405e+01 3.52e-04 2.34e+02  -3.8 9.16e+00    -  3.03e-02 1.40e-02h  1
  19  3.5761193e+01 3.89e-04 2.14e+02  -3.8 6.28e+00    -  6.55e-02 5.31e-02h  1
iter    objective    inf_pr   inf_du lg(mu)  ||d||  lg(rg) alpha_du alpha_pr  ls
  20  3.5548086e+01 4.30e-04 1.92e+02  -3.8 1.95e+01    -  1.31e-02 4.60e-03h  1
  21  3.4222923e+01 4.31e-04 1.66e+02  -3.8 4.51e+00    -  9.78e-02 6.50e-02h  1
