This is Ipopt version 3.14.14, running with linear solver MUMPS 5.6.2.

Number of nonzeros in equality constraint Jacobian...:     3608
Number of nonzeros in inequality constraint Jacobian.:      140
Number of nonzeros in Lagrangian Hessian.............:     1680

Total number of variables............................:     1155
                     variables with only lower bounds:      560
                variables with lower and upper bounds:       35
                     variables with only upper bounds:        0
Total number of equality constraints.................:     1120
Total number of inequality constraints...............:      140
        inequality constraints with only lower bounds:        0
   inequality constraints with lower and upper bounds:        0
        inequality constraints with only upper bounds:      140

iter    objective    inf_pr   inf_du lg(mu)  ||d||  lg(rg) alpha_du alpha_pr  ls
   0  4.0000000e+01 9.90e-01 8.33e+00  -1.0 0.00e+00    -  0.00e+00 0.00e+00   0
   1  4.5821477e+00 8.38e-01 5.10e+01  -1.0 1.29e+00    -  1.10e-02 1.54e-01f  1
   2  3.2939656e+00 7.53e-01 4.73e+01  -1.0 8.38e-01    -  1.84e-01 1.02e-01f  1
   3  2.0740733e+00 4.32e-01 6.03e+01  -1.0 7.53e-01    -  9.66e-01 4.27e-01f  1
   4  2.0786907e+00 4.31e-01 5.78e+02  -1.0 5.35e-01    -  4.38e-02 1.65e-03h  1
   5  2.6060558e+00 4.18e-01 6.29e+02  -1.0 1.92e+00    -  3.11e-03 3.02e-02h  1
   6  3.0006484e+00 4.09e-01 5.82e+02  -1.0 1.96e+00    -  2.26e-02 2.06e-02h  1
   7  3.0352087e+00 4.09e-01 5.84e+02  -1.0 4.05e+00    -  3.52e-03 1.29e-03h  1
   8  4.4299665e+00 3.83e-01 6.89e+02  -1.0 1.12e+00    -  2.27e-01 6.29e-02h  1
   9  5.9894229e+00 3.60e-01 6.53e+02  -1.0 9.98e-01    -  7.05e-02 5.90e-02h  1
iter    objective    inf_pr   inf_du lg(mu)  ||d||  lg(rg) alpha_du alpha_pr  ls
  10  9.6376994e+00 3.16e-01 5.44e+02  -1.0 9.29e-01    -  2.96e-02 1.25e-01h  1
  11  1.1239240e+01 2.98e-01 5.10e+02  -1.0 8.15e-01    -  4.47e-02 5.68e-02h  1
  12  1.3328353e+01 2.77e-01 4.77e+02  -1.0 7.72e-01    -  5.16e-02 7.09e-02h  1
  13  1.5499929e+01 2.57e-01 4.33e+02  -1.0 7.29e-01    -  3.41e-02 7.02e-02h  1
  14  1.6245204e+01 2.50e-01 4.46e+02  -1.0 5.69e-01    -  6.53e-02 2.69e-02h  1
  15  1.8939051e+01 2.26e-01 3.76e+02  -1.0 6.98e-01    -  7.52e-02 9.75e-02h  1
  16  2.1426844e+01 2.04e-01 3.47e+02  -1.0 6.31e-01    -  4.92e-02 9.64e-02h  1
  17  2.6717558e+01 1.61e-01 1.21e+03  -1.0 8.06e-01    -  4.26e-02 2.09e-01h  1
  18  2.8378457e+01 1.48e-01 1.10e+03  -1.0 8.67e-01    -  5.74e-02 8.03e-02h  1
  19  3.0550527e+01 1.32e-01 7.96e+02  -1.0 4.15e-01    -  5.05e-02 1.14e-01h  1
iter    objective    inf_pr   inf_du lg(mu)  ||d||  lg(rg) alpha_du alpha_pr  ls
  20  3.5885676e+01 9.32e-02 1.74e+03  -1.0 7.26e-01    -  5.51e-02 2.92e-01h  1
  21  3.7277792e+01 8.41e-02 1.63e+03  -1.0 7.16e-01    -  1.11e-01 9.79e-02h  1
  22  3.8770087e+01 7.46e-02 1.42e+03  -1.0 5.25e-01    -  2.73e-01 1.12e-01h  1
  23  4.2688988e+01 5.37e-02 1.19e+03  -1.0 4.57e-01    -  2.47e-02 2.80e-01h  1
  24  4.3352721e+01 4.96e-02 1.11e+03  -1.0 5.86e-01    -  8.86e-02 7.61e-02h  1
  25  4.3801970e+01 4.60e-02 1.11e+03  -1.0 3.15e-01   2.0 1.41e-01 7.33e-02h  1
  26  4.4433337e+01 3.73e-02 9.10e+02  -1.0 1.24e+00   1.5 1.65e-01 1.90e-01h  1
