num_supports,framework,nvar,ncon,objective,status,total_time,solve_time,ad_time
1000,JuMP,23023,34028,5744.482651704398,LOCALLY_SOLVED,9.931069332,4.57,2.186
2000,JuMP,46023,68028,5744.4826516963985,LOCALLY_SOLVED,19.901375437,8.956,3.925
4000,JuMP,92023,136028,5744.482651692579,LOCALLY_SOLVED,39.372273789,17.999,7.122
8000,JuMP,184023,272028,5744.482651708549,LOCALLY_SOLVED,77.554136089,33.93,12.347
16000,JuMP,368023,544028,5744.482651708556,LOCALLY_SOLVED,150.885425977,63.744,21.42
1000,AMPL,23023,34028,5744.4826517044,LOCALLY_SOLVED,11.477486708,3.807,0.881
2000,AMPL,46023,68028,5744.482651696399,LOCALLY_SOLVED,18.591616647,7.34,2.025
4000,AMPL,92023,136028,5744.482651692577,LOCALLY_SOLVED,39.419779771,14.77,4.284
8000,AMPL,184023,272028,5744.482651708549,LOCALLY_SOLVED,83.1333111,35.51,7.162
16000,AMPL,368023,544028,5744.482651708555,LOCALLY_SOLVED,189.636251039,90.298,11.541
1000,ExaModelsMOI,23023,43031,5744.4826517044685,LOCALLY_SOLVED,8.813526388,3.787,0.135
2000,ExaModelsMOI,46023,86031,5744.482651697196,LOCALLY_SOLVED,17.484199206,7.351,0.275
4000,ExaModelsMOI,92023,172031,5744.482651692579,LOCALLY_SOLVED,35.992913483,14.507,0.619
8000,ExaModelsMOI,184023,344031,5744.482651708547,LOCALLY_SOLVED,69.89637139,27.99,1.429
16000,ExaModelsMOI,368023,688031,5744.482651708548,LOCALLY_SOLVED,142.91004387,56.31,3.048
1000,InfiniteExaModels,23023,34028,5744.482651704399,first_order,3.472553152,3.338,0.108
2000,InfiniteExaModels,46023,68028,5744.482651696399,first_order,6.467953891,6.169,0.233
4000,InfiniteExaModels,92023,136028,5744.482651692577,first_order,12.611310723,12.08,0.545
8000,InfiniteExaModels,184023,272028,5744.482651708549,first_order,24.367968504,23.361,1.166
16000,InfiniteExaModels,368023,544028,5744.482651708556,first_order,44.963709952,43.024,2.026
