num_supports,framework,nvar,ncon,objective,status,total_time,solve_time,ad_time
1000,ExaModelsMOI,24024,43031,5737.079974475306,UNKNOWN_RESULT_STATUS,5.800054007,0.268,0.021
2000,ExaModelsMOI,48024,86031,5737.080017221088,UNKNOWN_RESULT_STATUS,11.803650827,0.434,0.025
4000,ExaModelsMOI,96024,172031,5737.080136706088,UNKNOWN_RESULT_STATUS,22.987709602,0.762,0.031
8000,ExaModelsMOI,192024,344031,5737.080811890428,UNKNOWN_RESULT_STATUS,45.954581565,1.46,0.047
16000,ExaModelsMOI,384024,688031,5737.080589339333,UNKNOWN_RESULT_STATUS,92.845702158,3.107,0.091
1000,InfiniteExaModels,24024,34028,5737.0799744644,SOLVE_SUCCEEDED,0.482483574,0.294,0.081
2000,InfiniteExaModels,48024,68028,5737.080017220929,SOLVE_SUCCEEDED,0.848651699,0.502,0.17
4000,InfiniteExaModels,96024,136028,5737.080136706089,SOLVE_SUCCEEDED,1.421858862,0.716,0.092
8000,InfiniteExaModels,192024,272028,5737.080057597831,SOLVE_SUCCEEDED,2.881915916,1.469,0.104
16000,InfiniteExaModels,384024,544028,5737.080589339225,SOLVE_SUCCEEDED,5.776633821,2.906,0.139
