num_scenarios,num_supports,framework,nvar,ncon,objective,status,total_time,solve_time,ad_time
4,25,JuMP,1155,1260,64.49831462821655,LOCALLY_INFEASIBLE,5.510647013,5.383,0.59
4,50,JuMP,1980,2160,68.41240593676665,LOCALLY_SOLVED,0.765576547,0.548,0.09
4,100,JuMP,3630,3960,65.62824099388769,LOCALLY_SOLVED,1.398370473,0.969,0.185
8,100,JuMP,7150,7920,62.22756483371225,LOCALLY_SOLVED,9.654770336,8.949,1.258
128,100,JuMP,112750,126720,72.57277425823285,LOCALLY_SOLVED,396.740110526,385.858,60.652
4,25,AMPL,1155,1260,61.244305080668134,LOCALLY_INFEASIBLE,5.066892947,4.824,0.164
4,50,AMPL,1980,2160,68.41240593676663,LOCALLY_SOLVED,0.816836698,0.539,0.027
4,100,AMPL,3630,3960,65.62824099388769,LOCALLY_SOLVED,1.35479087,0.858,0.045
8,100,AMPL,7150,7920,62.227564833712236,LOCALLY_SOLVED,9.624862939,8.755,0.402
128,100,AMPL,112750,126720,72.57277425823325,LOCALLY_SOLVED,374.668812824,364.06,23.374
4,25,ExaModelsMOI,1155,1260,64.04937142679708,INFEASIBLE_OR_UNBOUNDED,5.683071818,5.556,0.087
4,50,ExaModelsMOI,1980,2160,68.41240593676666,LOCALLY_SOLVED,0.693711365,0.46,0.009
4,100,ExaModelsMOI,3630,3960,65.62824099388767,LOCALLY_SOLVED,2.628185029,0.805,0.013
8,100,ExaModelsMOI,7150,7920,62.22756483371224,LOCALLY_SOLVED,8.201164839,7.537,0.11
128,100,ExaModelsMOI,112750,126720,72.57277425823318,LOCALLY_SOLVED,376.252144052,367.624,3.451
4,25,InfiniteExaModels,1155,1260,64.49831357947338,infeasible,4.968588162,4.916,0.076
4,50,InfiniteExaModels,1980,2160,68.41240593676669,first_order,0.471281189,0.451,0.008
4,100,InfiniteExaModels,3630,3960,65.62824099388764,first_order,0.833707895,0.804,0.013
8,100,InfiniteExaModels,7150,7920,62.227564833712236,first_order,7.524673569,7.478,0.097
128,100,InfiniteExaModels,112750,126720,72.5727742582333,first_order,368.787555442,368.669,3.011
