num_supports,framework,nvar,ncon,objective,status,total_time,solve_time,ad_time
1000,JuMP,43978,39978,568.7625370859757,LOCALLY_SOLVED,10.473244845,1.981,0.546
2000,JuMP,87978,79978,568.758360549106,LOCALLY_SOLVED,21.824417511,4.096,1.299
4000,JuMP,175978,159978,568.7573166349281,LOCALLY_SOLVED,42.025879909,7.232,1.958
8000,JuMP,351978,319978,568.7570557406864,LOCALLY_SOLVED,85.478627709,13.733,3.143
16000,JuMP,703978,639978,568.7569905330417,LOCALLY_SOLVED,171.74501835,28.58,6.301
1000,AMPL,43978,39978,568.7625370859785,LOCALLY_SOLVED,10.722655536,1.896,0.376
2000,AMPL,87978,79978,568.7583605491135,LOCALLY_SOLVED,21.592680966,3.642,0.78
4000,AMPL,175978,159978,568.7573166349343,LOCALLY_SOLVED,46.316976005,6.582,1.353
8000,AMPL,351978,319978,568.7570557407046,LOCALLY_SOLVED,87.394910765,12.63,2.388
16000,AMPL,703978,639978,568.7569905330615,LOCALLY_SOLVED,178.959087343,26.423,4.997
1000,ExaModelsMOI,43978,39978,568.7625370859733,LOCALLY_SOLVED,10.014925421,1.743,0.059
2000,ExaModelsMOI,87978,79978,568.7583605491,LOCALLY_SOLVED,21.665097942,3.244,0.11
4000,ExaModelsMOI,175978,159978,568.7573166349392,LOCALLY_SOLVED,40.974910927,5.937,0.22
8000,ExaModelsMOI,351978,319978,568.7570557406883,LOCALLY_SOLVED,80.691353238,11.292,0.46
16000,ExaModelsMOI,703978,639978,568.7569905330254,LOCALLY_SOLVED,162.118529295,23.101,1.124
1000,InfiniteExaModels,43978,39978,568.762537085979,first_order,6.288008946,2.155,0.437
2000,InfiniteExaModels,87978,79978,568.7583605491135,first_order,8.315611484,3.627,0.49
4000,InfiniteExaModels,175978,159978,568.7573166349343,first_order,11.847174461,6.216,0.581
8000,InfiniteExaModels,351978,319978,568.7570557407024,first_order,15.490601343,10.968,0.414
16000,InfiniteExaModels,703978,639978,568.7569905330665,first_order,31.921180058,22.58,0.982
