num_supports,framework,nvar,ncon,objective,status,total_time,solve_time,ad_time
1000,ExaModelsMOI,43978,39978,568.35506751956,UNKNOWN_RESULT_STATUS,9.295408984,0.521,0.031
2000,ExaModelsMOI,87978,79978,567.9790712120307,UNKNOWN_RESULT_STATUS,18.571388926,0.988,0.148
4000,ExaModelsMOI,175978,159978,567.2115977901258,UNKNOWN_RESULT_STATUS,36.85156492,1.71,0.038
8000,ExaModelsMOI,351978,319978,565.6770006501433,UNKNOWN_RESULT_STATUS,73.602806042,3.119,0.031
16000,ExaModelsMOI,703978,639978,562.5963509803026,UNKNOWN_RESULT_STATUS,152.500582478,6.446,0.054
1000,InfiniteExaModels,43978,39978,568.3550675195602,SOLVE_SUCCEEDED,33.955870895,26.493,0.718
2000,InfiniteExaModels,87978,79978,567.979071212031,SOLVE_SUCCEEDED,2.484530275,0.902,0.057
4000,InfiniteExaModels,175978,159978,567.2115977901266,SOLVE_SUCCEEDED,36.516572925,26.93,0.73
8000,InfiniteExaModels,351978,319978,565.6770006501432,SOLVE_SUCCEEDED,9.518678412,3.176,0.112
16000,InfiniteExaModels,703978,639978,562.5963509803049,SOLVE_SUCCEEDED,19.048875889,6.452,0.068
